        dag_id         | is_paused | is_subdag | is_active |     last_scheduler_run     | last_pickled |        last_expired        | scheduler_lock | pickle_id |                       fileloc                       | owners
-----------------------+-----------+-----------+-----------+----------------------------+--------------+----------------------------+----------------+-----------+-----------------------------------------------------+---------
 compuesto_de_medianas | f         | f         | t         | 2018-12-05 19:44:23.110511 |              | 2018-11-21 18:41:43.242292 |                |           | /home/cubo/airflow/dags/compuesto_de_medianas.py    | cubo
 ndvi                  | f         | f         | t         | 2018-12-05 19:44:24.165767 |              | 2018-11-22 18:59:59.819304 |                |           | /home/cubo/airflow/dags/ndvi.py                     | cubo
 prueba_8_1            | f         | f         | t         | 2018-12-05 19:44:25.187186 |              |                            |                |           | /home/cubo/airflow/dags/prueba_8_1.py               | cubo
 wofs-wf               | f         | f         | t         | 2018-12-05 19:44:26.236321 |              | 2018-11-13 19:36:33.103735 |                |           | /home/cubo/airflow/dags/wofs.py                     | cubo
 prueba16              | t         | f         | t         | 2018-12-05 19:44:26.246322 |              |                            |                |           | /home/cubo/airflow/dags/prueba_16.py                | cubo
 deteccion_cambios_PCA | f         | f         | t         | 2018-12-05 19:44:27.271928 |              | 2018-11-22 16:29:06.603734 |                |           | /home/cubo/airflow/dags/deteccion_de_cambios_pca.py | cubo
 prueba32              | f         | f         | t         | 2018-12-05 19:44:27.321766 |              |                            |                |           | /home/cubo/airflow/dags/prueba_32.py                | cubo
 kmeans                | f         | f         | t         | 2018-12-05 19:44:28.80027  |              |                            |                |           | /home/cubo/airflow/dags/k_means.py                  | cubo
 prueba_8_3            | f         | f         | t         | 2018-12-05 19:44:29.392401 |              |                            |                |           | /home/cubo/airflow/dags/prueba_8_3.py               | cubo
 bosque_no_bosque      | f         | f         | t         | 2018-12-05 19:44:30.587128 |              | 2018-11-21 19:00:24.089996 |                |           | /home/cubo/airflow/dags/bosque_no_bosque.py         | cubo
 example_dummy         | t         | f         | t         | 2018-12-05 19:44:32.502805 |              |                            |                |           | /home/cubo/airflow/dags/dummy.py                    | airflow
 prueba8               | t         | f         | t         | 2018-12-05 19:44:24.139524 |              |                            |                |           | /home/cubo/airflow/dags/prueba_8.py                 | cubo
 prueba_8_2            | f         | f         | t         | 2018-12-05 19:44:25.185631 |              |                            |                |           | /home/cubo/airflow/dags/prueba_8_2.py               | cubo
 prueba_16_1           | t         | f         | t         | 2018-12-05 19:44:28.323815 |              |                            |                |           | /home/cubo/airflow/dags/prueba_16_1.py              | cubo
 ndsi                  | f         | f         | t         | 2018-12-05 19:44:29.396583 |              |                            |                |           | /home/cubo/airflow/dags/ndsi.py                     | cubo
 prueba_16_2           | t         | f         | t         | 2018-12-05 19:44:30.610945 |              |                            |                |           | /home/cubo/airflow/dags/prueba_16_2.py              | cubo
